company_code,company_shortName,fund_type,fund_scale,fund_scale_mean,fund_scale_rank,fund_amount,fund_amount_mean,fund_amount_rank,fund_manager_amount,fund_manager_amount_mean,fund_manager_amount_rank
80046522,益民,混合型,12.76,168.22,96/146,6,25.96,105/146,3,10.63,104/146
80046522,益民,股票型,0.07,115.22,109/112,1,14.41,103/112,1,4.95,83/112
80280036,圆信永丰,混合型,40.86,168.22,71/146,20,25.96,62/146,9,10.63,61/146
80280036,圆信永丰,股票型,7.50,115.22,65/112,1,14.41,103/112,1,4.95,83/112
80000229,易方达,混合型,"1,413.65",168.22,3/146,99,25.96,3/146,41,10.63,1/146
80000229,易方达,股票型,"1,162.01",115.22,2/112,54,14.41,7/112,14,4.95,10/112
80175498,英大,混合型,5.08,168.22,118/146,9,25.96,96/146,4,10.63,94/146
80175498,英大,股票型,0.81,115.22,98/112,1,14.41,103/112,1,4.95,83/112
80000235,银华,混合型,451.33,168.22,17/146,67,25.96,15/146,36,10.63,5/146
80000235,银华,股票型,236.67,115.22,17/112,39,14.41,14/112,14,4.95,10/112
80501166,先锋,,-,-,-/-,-,-,-/-,-,-,-/-
80501166,先锋,混合型,0.67,168.22,134/146,10,25.96,93/146,3,10.63,104/146
80280397,湘财,股票型,2.93,115.22,80/112,2,14.41,85/112,1,4.95,83/112
80280397,湘财,混合型,9.52,168.22,101/146,4,25.96,118/146,3,10.63,104/146
80280395,兴业,股票型,5.25,115.22,78/112,5,14.41,62/112,2,4.95,64/112
80280395,兴业,混合型,39.25,168.22,73/146,20,25.96,62/146,9,10.63,61/146
80452130,新沃,,-,-,-/-,-,-,-/-,-,-,-/-
80452130,新沃,混合型,0.20,168.22,142/146,1,25.96,143/146,2,10.63,119/146
80368700,兴银,,-,-,-/-,-,-,-/-,-,-,-/-
80368700,兴银,混合型,5.35,168.22,115/146,9,25.96,96/146,4,10.63,94/146
80000249,新华,混合型,61.53,168.22,63/146,29,25.96,53/146,14,10.63,39/146
80000249,新华,股票型,7.74,115.22,64/112,6,14.41,56/112,2,4.95,64/112
80074234,信达澳银,股票型,132.02,115.22,22/112,4,14.41,71/112,4,4.95,35/112
80074234,信达澳银,混合型,45.15,168.22,67/146,18,25.96,70/146,7,10.63,73/146
80036742,兴证全球,混合型,"1,012.13",168.22,5/146,20,25.96,62/146,12,10.63,47/146
80036742,兴证全球,股票型,72.04,115.22,28/112,3,14.41,79/112,2,4.95,64/112
80147736,西部利得,混合型,21.13,168.22,83/146,20,25.96,62/146,8,10.63,67/146
80351991,鑫元,混合型,3.99,168.22,123/146,10,25.96,93/146,6,10.63,76/146
80351991,鑫元,股票型,1.73,115.22,86/112,2,14.41,85/112,1,4.95,83/112
80000240,万家,混合型,298.81,168.22,22/146,58,25.96,20/146,16,10.63,32/146
80000240,万家,股票型,34.89,115.22,42/112,10,14.41,39/112,5,4.95,26/112
80147736,西部利得,股票型,6.26,115.22,71/112,7,14.41,52/112,3,4.95,47/112
80061674,泰康资产,股票型,67.43,115.22,29/112,11,14.41,37/112,3,4.95,47/112
80061674,泰康资产,混合型,154.42,168.22,40/146,31,25.96,48/146,12,10.63,47/146
80000252,天治,混合型,9.21,168.22,103/146,11,25.96,89/146,5,10.63,85/146
80000252,天治,,-,-,-/-,-,-,-/-,-,-,-/-
80050806,太平洋,,-,-,-/-,-,-,-/-,-,-,-/-
80050806,太平洋,,-,-,-/-,-,-,-/-,-,-,-/-
80000247,泰信,股票型,0.90,115.22,94/112,2,14.41,85/112,1,4.95,83/112
80000247,泰信,混合型,23.41,168.22,82/146,17,25.96,73/146,10,10.63,54/146
80560408,同泰,混合型,4.02,168.22,122/146,12,25.96,86/146,3,10.63,104/146
80560408,同泰,,-,-,-/-,-,-,-/-,-,-,-/-
80041198,天弘,混合型,83.60,168.22,57/146,24,25.96,55/146,14,10.63,39/146
80000238,泰达宏利,混合型,92.79,168.22,56/146,47,25.96,26/146,12,10.63,47/146
80041198,天弘,股票型,261.11,115.22,16/112,35,14.41,16/112,5,4.95,26/112
80000238,泰达宏利,股票型,21.36,115.22,50/112,12,14.41,34/112,4,4.95,35/112
80294346,太平,股票型,0.90,115.22,94/112,2,14.41,85/112,1,4.95,83/112
80294346,太平,混合型,19.04,168.22,85/146,4,25.96,118/146,6,10.63,76/146
80366080,上银,混合型,10.54,168.22,98/146,4,25.96,118/146,4,10.63,94/146
80366080,上银,,-,-,-/-,-,-,-/-,-,-,-/-
80000080,山西证券,股票型,2.32,115.22,83/112,2,14.41,85/112,2,4.95,64/112
80192219,上海光大证券,,-,-,-/-,-,-,-/-,-,-,-/-
80192219,上海光大证券,混合型,-,168.22,144/146,5,25.96,111/146,-,10.63,144/146
80050229,上投,混合型,211.80,168.22,30/146,41,25.96,30/146,22,10.63,18/146
80050229,上投,股票型,114.88,115.22,24/112,16,14.41,27/112,9,4.95,17/112
80000080,山西证券,混合型,1.10,168.22,131/146,2,25.96,134/146,2,10.63,119/146
80045188,申万,混合型,73.30,168.22,59/146,21,25.96,59/146,10,10.63,54/146
80045188,申万,股票型,125.02,115.22,23/112,23,14.41,22/112,5,4.95,26/112
80000231,融通,混合型,322.88,168.22,20/146,37,25.96,38/146,22,10.63,18/146
80000231,融通,股票型,73.75,115.22,27/112,13,14.41,32/112,3,4.95,47/112
80672691,睿远,混合型,177.60,168.22,37/146,4,25.96,118/146,4,10.63,94/146
80672691,睿远,,-,-,-/-,-,-,-/-,-,-,-/-
81046799,瑞达,,-,-,-/-,-,-,-/-,-,-,-/-
81046799,瑞达,,-,-,-/-,-,-,-/-,-,-,-/-
80061431,人保资产,股票型,2.94,115.22,79/112,2,14.41,85/112,1,4.95,83/112
80061431,人保资产,混合型,5.01,168.22,119/146,12,25.96,86/146,4,10.63,94/146
80280038,前海开源,混合型,210.45,168.22,31/146,81,25.96,9/146,21,10.63,21/146
80280038,前海开源,股票型,64.22,115.22,31/112,24,14.41,21/112,9,4.95,17/112
80468996,前海联合,混合型,12.84,168.22,95/146,20,25.96,62/146,3,10.63,104/146
80468996,前海联合,股票型,0.16,115.22,107/112,2,14.41,85/112,1,4.95,83/112
80091787,浦银,混合型,116.81,168.22,49/146,31,25.96,48/146,10,10.63,54/146
80091787,浦银,股票型,5.60,115.22,75/112,8,14.41,47/112,2,4.95,64/112
80168726,平安,混合型,112.20,168.22,52/146,52,25.96,21/146,21,10.63,21/146
80168726,平安,股票型,139.57,115.22,21/112,25,14.41,19/112,4,4.95,35/112
80522693,鹏扬,混合型,101.79,168.22,54/146,18,25.96,70/146,7,10.63,73/146
80522693,鹏扬,股票型,1.79,115.22,85/112,4,14.41,71/112,2,4.95,64/112
80000230,鹏华,混合型,586.16,168.22,15/146,96,25.96,4/146,27,10.63,12/146
80000230,鹏华,股票型,276.59,115.22,15/112,53,14.41,8/112,16,4.95,5/112
80092233,农银,混合型,192.94,168.22,34/146,32,25.96,46/146,15,10.63,37/146
80092233,农银,股票型,41.98,115.22,38/112,6,14.41,56/112,4,4.95,35/112
80000220,南方,股票型,690.42,115.22,5/112,79,14.41,3/112,19,4.95,3/112
80000220,南方,混合型,818.11,168.22,9/146,115,25.96,1/146,35,10.63,6/146
80555446,南华,混合型,0.21,168.22,141/146,4,25.96,118/146,2,10.63,119/146
80049689,诺安,混合型,269.14,168.22,24/146,38,25.96,36/146,17,10.63,27/146
80555446,南华,股票型,0.45,115.22,101/112,3,14.41,79/112,1,4.95,83/112
80049689,诺安,股票型,43.79,115.22,37/112,10,14.41,39/112,8,4.95,22/112
80106677,民生,混合型,178.60,168.22,36/146,31,25.96,48/146,11,10.63,51/146
80106677,民生,股票型,44.53,115.22,36/112,10,14.41,39/112,5,4.95,26/112
80664536,明亚,混合型,3.45,168.22,124/146,2,25.96,134/146,1,10.63,133/146
80664536,明亚,,-,-,-/-,-,-,-/-,-,-,-/-
80036797,摩根士丹利,混合型,40.84,168.22,72/146,14,25.96,81/146,8,10.63,67/146
80036797,摩根士丹利,股票型,8.20,115.22,63/112,5,14.41,62/112,6,4.95,25/112
80560381,凯石,,-,-,-/-,-,-,-/-,-,-,-/-
80560381,凯石,混合型,9.35,168.22,102/146,14,25.96,81/146,4,10.63,94/146
80086876,金元顺安,混合型,5.41,168.22,114/146,7,25.96,103/146,5,10.63,85/146
80086876,金元顺安,,-,-,-/-,-,-,-/-,-,-,-/-
80000245,金鹰,股票型,14.99,115.22,55/112,6,14.41,56/112,4,4.95,35/112
80000245,金鹰,混合型,71.05,168.22,60/146,33,25.96,43/146,12,10.63,47/146
80384640,九泰,混合型,61.31,168.22,64/146,28,25.96,54/146,10,10.63,54/146
80384640,九泰,股票型,5.30,115.22,77/112,3,14.41,79/112,1,4.95,83/112
80446423,金信,股票型,0.20,115.22,105/112,2,14.41,85/112,1,4.95,83/112
80446423,金信,混合型,4.38,168.22,120/146,9,25.96,96/146,4,10.63,94/146
80205264,江信,混合型,0.45,168.22,138/146,4,25.96,118/146,2,10.63,119/146
80205264,江信,,-,-,-/-,-,-,-/-,-,-,-/-
80365987,嘉合,混合型,5.48,168.22,113/146,13,25.96,85/146,8,10.63,67/146
80365987,嘉合,股票型,-,115.22,110/112,2,14.41,85/112,-,4.95,110/112
80000251,景顺长城,混合型,664.43,168.22,12/146,51,25.96,22/146,16,10.63,32/146
80000251,景顺长城,股票型,221.10,115.22,18/112,25,14.41,19/112,9,4.95,17/112
80065990,建信,混合型,114.09,168.22,51/146,51,25.96,22/146,22,10.63,18/146
80065990,建信,股票型,155.40,115.22,20/112,46,14.41,12/112,16,4.95,5/112
80064562,交银,股票型,27.01,115.22,46/112,11,14.41,37/112,3,4.95,47/112
80064562,交银,混合型,"1,024.04",168.22,4/146,46,25.96,27/146,19,10.63,24/146
80000223,嘉实,混合型,633.31,168.22,14/146,68,25.96,13/146,33,10.63,8/146
80000223,嘉实,股票型,869.27,115.22,3/112,82,14.41,2/112,34,4.95,1/112
80000246,海富通,混合型,263.83,168.22,25/146,38,25.96,36/146,17,10.63,27/146
80000246,海富通,股票型,12.19,115.22,58/112,17,14.41,26/112,5,4.95,26/112
80924817,惠升,混合型,18.75,168.22,86/146,6,25.96,105/146,2,10.63,119/146
80924817,惠升,,-,-,-/-,-,-,-/-,-,-,-/-
80560396,合煦智远,股票型,5.49,115.22,76/112,4,14.41,71/112,2,4.95,64/112
80560396,合煦智远,混合型,0.76,168.22,133/146,2,25.96,134/146,1,10.63,133/146
80560379,弘毅远方,混合型,7.10,168.22,108/146,3,25.96,129/146,3,10.63,104/146
80560379,弘毅远方,股票型,6.64,115.22,68/112,2,14.41,85/112,2,4.95,64/112
80560380,恒越,混合型,0.54,168.22,136/146,4,25.96,118/146,1,10.63,133/146
80560380,恒越,,-,-,-/-,-,-,-/-,-,-,-/-
80508384,恒生前海,混合型,5.30,168.22,116/146,5,25.96,111/146,3,10.63,104/146
80508384,恒生前海,股票型,0.56,115.22,99/112,5,14.41,62/112,1,4.95,83/112
80498278,汇安,混合型,44.83,168.22,68/146,33,25.96,43/146,10,10.63,54/146
80498278,汇安,股票型,5.65,115.22,74/112,6,14.41,56/112,2,4.95,64/112
80523667,华泰保兴,混合型,18.44,168.22,89/146,15,25.96,79/146,6,10.63,76/146
80523667,华泰保兴,股票型,1.39,115.22,91/112,1,14.41,103/112,1,4.95,83/112
80092743,华融证券,混合型,0.62,168.22,135/146,2,25.96,134/146,1,10.63,133/146
80092743,华融证券,,-,-,-/-,-,-,-/-,-,-,-/-
80385906,红土创新,混合型,7.01,168.22,109/146,6,25.96,105/146,5,10.63,85/146
80385906,红土创新,股票型,1.55,115.22,89/112,5,14.41,62/112,3,4.95,47/112
80053204,华商,混合型,225.39,168.22,27/146,35,25.96,40/146,13,10.63,43/146
80053204,华商,股票型,22.16,115.22,48/112,7,14.41,52/112,7,4.95,23/112
80000250,华宝,股票型,333.13,115.22,14/112,36,14.41,15/112,11,4.95,14/112
80000250,华宝,混合型,147.26,168.22,44/146,39,25.96,33/146,24,10.63,14/146
80000228,华安,股票型,335.48,115.22,13/112,33,14.41,18/112,9,4.95,17/112
80000228,华安,混合型,806.01,168.22,10/146,73,25.96,12/146,31,10.63,9/146
80205263,红塔红土,混合型,8.94,168.22,104/146,11,25.96,89/146,2,10.63,119/146
80205263,红塔红土,,-,-,-/-,-,-,-/-,-,-,-/-
80424273,泓德,混合型,334.59,168.22,19/146,18,25.96,70/146,6,10.63,76/146
80424273,泓德,股票型,6.98,115.22,66/112,1,14.41,103/112,1,4.95,83/112
80053708,汇添富,股票型,478.39,115.22,8/112,57,14.41,6/112,16,4.95,5/112
80053708,汇添富,混合型,"1,463.83",168.22,1/146,76,25.96,11/146,23,10.63,16/146
80067635,汇丰晋信,混合型,33.50,168.22,76/146,9,25.96,96/146,8,10.63,67/146
80067635,汇丰晋信,股票型,83.79,115.22,26/112,15,14.41,28/112,10,4.95,16/112
80000222,华夏,股票型,"1,701.81",115.22,1/112,76,14.41,4/112,17,4.95,4/112
80000222,华夏,混合型,959.45,168.22,6/146,92,25.96,6/146,39,10.63,3/146
80391977,华泰证券(上海),混合型,10.39,168.22,99/146,2,25.96,134/146,1,10.63,133/146
80391977,华泰证券(上海),股票型,1.02,115.22,92/112,2,14.41,85/112,2,4.95,64/112
80037023,华富,混合型,31.15,168.22,77/146,24,25.96,55/146,10,10.63,54/146
80037023,华富,股票型,8.32,115.22,62/112,5,14.41,62/112,2,4.95,64/112
80055334,华泰柏瑞,股票型,474.57,115.22,9/112,19,14.41,24/112,3,4.95,47/112
80055334,华泰柏瑞,混合型,244.27,168.22,26/146,50,25.96,24/146,14,10.63,39/146
80201857,华宸未来,,-,-,-/-,-,-,-/-,-,-,-/-
80201857,华宸未来,混合型,0.51,168.22,137/146,1,25.96,143/146,1,10.63,133/146
80975669,华融,,-,-,-/-,-,-,-/-,-,-,-/-
80975669,华融,,-,-,-/-,-,-,-/-,-,-,-/-
80199117,华润,混合型,8.88,168.22,105/146,7,25.96,103/146,4,10.63,94/146
80199117,华润,股票型,2.49,115.22,81/112,3,14.41,79/112,2,4.95,64/112
80000248,广发,混合型,"1,416.30",168.22,2/146,101,25.96,2/146,35,10.63,6/146
80000248,广发,股票型,585.67,115.22,7/112,83,14.41,1/112,15,4.95,9/112
80357951,广发资产管理,混合型,9.61,168.22,100/146,1,25.96,143/146,1,10.63,133/146
80357951,广发资产管理,,-,-,-/-,-,-,-/-,-,-,-/-
80560389,国融,混合型,4.10,168.22,121/146,14,25.96,81/146,3,10.63,104/146
80560389,国融,,-,-,-/-,-,-,-/-,-,-,-/-
80548351,格林,混合型,0.86,168.22,132/146,6,25.96,105/146,3,10.63,104/146
80548351,格林,,-,-,-/-,-,-,-/-,-,-,-/-
80048088,光大保德信,混合型,116.21,168.22,50/146,34,25.96,41/146,13,10.63,43/146
80048088,光大保德信,股票型,57.34,115.22,34/112,5,14.41,62/112,5,4.95,26/112
80000095,国都,混合型,1.94,168.22,127/146,5,25.96,111/146,5,10.63,85/146
80000095,国都,,-,-,-/-,-,-,-/-,-,-,-/-
80043374,国联安,混合型,79.28,168.22,58/146,36,25.96,39/146,18,10.63,26/146
80043374,国联安,股票型,112.98,115.22,25/112,14,14.41,30/112,3,4.95,47/112
80280039,国开泰富,,-,-,-/-,-,-,-/-,-,-,-/-
80280039,国开泰富,混合型,1.53,168.22,130/146,3,25.96,129/146,3,10.63,104/146
80355783,国寿安保,股票型,63.25,115.22,32/112,10,14.41,39/112,3,4.95,47/112
80355783,国寿安保,混合型,59.05,168.22,65/146,31,25.96,48/146,10,10.63,54/146
80102419,国金,混合型,8.08,168.22,107/146,5,25.96,111/146,5,10.63,85/146
80102419,国金,股票型,0.96,115.22,93/112,4,14.41,71/112,2,4.95,64/112
80156175,国泰君安资管,混合型,147.38,168.22,43/146,4,25.96,118/146,3,10.63,104/146
80156175,国泰君安资管,,-,-,-/-,-,-,-/-,-,-,-/-
80056613,高华证券,,-,-,-/-,-,-,-/-,-,-,-/-
80056613,高华证券,,-,-,-/-,-,-,-/-,-,-,-/-
80064225,工银,股票型,421.44,115.22,10/112,59,14.41,5/112,24,4.95,2/112
80064225,工银,混合型,307.84,168.22,21/146,64,25.96,17/146,31,10.63,9/146
80000224,国泰,股票型,637.65,115.22,6/112,50,14.41,10/112,13,4.95,12/112
80000224,国泰,混合型,392.78,168.22,18/146,65,25.96,16/146,21,10.63,21/146
80000233,国投瑞银,混合型,148.45,168.22,42/146,39,25.96,33/146,23,10.63,16/146
80000233,国投瑞银,股票型,13.35,115.22,57/112,12,14.41,34/112,3,4.95,47/112
80044515,国海,混合型,120.59,168.22,48/146,19,25.96,69/146,11,10.63,51/146
80044515,国海,股票型,47.76,115.22,35/112,5,14.41,62/112,4,4.95,35/112
80560383,蜂巢,,-,-,-/-,-,-,-/-,-,-,-/-
80560383,蜂巢,混合型,0.31,168.22,139/146,2,25.96,134/146,2,10.63,119/146
80128562,富安达,混合型,19.59,168.22,84/146,8,25.96,100/146,6,10.63,76/146
80128562,富安达,股票型,0.90,115.22,94/112,1,14.41,103/112,1,4.95,83/112
80488954,富荣,混合型,18.57,168.22,87/146,8,25.96,100/146,1,10.63,133/146
80488954,富荣,股票型,1.67,115.22,87/112,4,14.41,71/112,1,4.95,83/112
80000221,富国,混合型,879.43,168.22,8/146,81,25.96,9/146,38,10.63,4/146
80000221,富国,股票型,718.42,115.22,4/112,51,14.41,9/112,16,4.95,5/112
80174741,方正富邦,混合型,8.10,168.22,106/146,16,25.96,75/146,4,10.63,94/146
80174741,方正富邦,股票型,11.21,115.22,60/112,10,14.41,39/112,2,4.95,64/112
80048161,东吴,混合型,29.83,168.22,78/146,17,25.96,73/146,9,10.63,61/146
80701749,达诚,,-,-,-/-,-,-,-/-,-,-,-/-
80048161,东吴,股票型,1.57,115.22,88/112,5,14.41,62/112,4,4.95,35/112
80701749,达诚,,-,-,-/-,-,-,-/-,-,-,-/-
80000225,大成,混合型,293.02,168.22,23/146,63,25.96,18/146,24,10.63,14/146
80000225,大成,股票型,59.40,115.22,33/112,20,14.41,23/112,7,4.95,23/112
80042861,东方,,-,-,-/-,-,-,-/-,-,-,-/-
80042861,东方,混合型,63.22,168.22,61/146,39,25.96,33/146,8,10.63,67/146
80205268,东海,混合型,1.68,168.22,129/146,5,25.96,111/146,2,10.63,119/146
80205268,东海,股票型,0.35,115.22,103/112,1,14.41,103/112,1,4.95,83/112
80175511,德邦,股票型,2.41,115.22,82/112,6,14.41,56/112,1,4.95,83/112
80175511,德邦,混合型,18.41,168.22,91/146,16,25.96,75/146,8,10.63,67/146
80114781,东兴,股票型,2.03,115.22,84/112,2,14.41,85/112,1,4.95,83/112
80114781,东兴,混合型,5.25,168.22,117/146,11,25.96,89/146,3,10.63,104/146
80560388,东方阿尔法,混合型,10.81,168.22,97/146,4,25.96,118/146,1,10.63,133/146
80560388,东方阿尔法,,-,-,-/-,-,-,-/-,-,-,-/-
80560384,东财,股票型,21.09,115.22,51/112,8,14.41,47/112,2,4.95,64/112
80560384,东财,,-,-,-/-,-,-,-/-,-,-,-/-
80404701,财通资管,混合型,41.48,168.22,70/146,10,25.96,93/146,4,10.63,94/146
80404701,财通资管,股票型,0.17,115.22,106/112,2,14.41,85/112,1,4.95,83/112
80000239,长城,混合型,171.86,168.22,38/146,34,25.96,41/146,16,10.63,32/146
80000239,长城,股票型,29.55,115.22,43/112,8,14.41,47/112,3,4.95,47/112
80965167,淳厚,混合型,6.45,168.22,112/146,4,25.96,118/146,2,10.63,119/146
80965167,淳厚,,-,-,-/-,-,-,-/-,-,-,-/-
80404004,长江资管,混合型,0.24,168.22,140/146,1,25.96,143/146,1,10.63,133/146
80404004,长江资管,股票型,0.09,115.22,108/112,2,14.41,85/112,1,4.95,83/112
80000243,长信,混合型,143.78,168.22,46/146,48,25.96,25/146,16,10.63,32/146
80000243,长信,股票型,11.59,115.22,59/112,9,14.41,46/112,3,4.95,47/112
80380794,创金合信,股票型,37.69,115.22,41/112,34,14.41,17/112,9,4.95,17/112
80380794,创金合信,混合型,18.52,168.22,88/146,20,25.96,62/146,9,10.63,61/146
80000227,长盛,混合型,98.56,168.22,55/146,41,25.96,30/146,14,10.63,39/146
80000227,长盛,股票型,22.82,115.22,47/112,13,14.41,32/112,3,4.95,47/112
80161341,财通,混合型,105.10,168.22,53/146,21,25.96,59/146,5,10.63,85/146
80161341,财通,股票型,6.08,115.22,72/112,6,14.41,56/112,3,4.95,47/112
80139382,长安,混合型,139.25,168.22,47/146,24,25.96,55/146,6,10.63,76/146
80139382,长安,股票型,0.46,115.22,100/112,1,14.41,103/112,1,4.95,83/112
80560400,博远,,-,-,-/-,-,-,-/-,-,-,-/-
80560400,博远,混合型,2.37,168.22,125/146,2,25.96,134/146,2,10.63,119/146
80538609,渤海汇金,混合型,0.18,168.22,143/146,3,25.96,129/146,3,10.63,104/146
80538609,渤海汇金,,-,-,-/-,-,-,-/-,-,-,-/-
80000226,博时,混合型,639.05,168.22,13/146,95,25.96,5/146,40,10.63,2/146
80000226,博时,股票型,407.11,115.22,11/112,43,14.41,13/112,11,4.95,14/112
80560392,博道,混合型,58.84,168.22,66/146,16,25.96,75/146,3,10.63,104/146
80560392,博道,股票型,14.53,115.22,56/112,8,14.41,47/112,1,4.95,83/112
80163340,安信,混合型,219.56,168.22,28/146,43,25.96,28/146,17,10.63,27/146
80163340,安信,股票型,66.28,115.22,30/112,14,14.41,30/112,4,4.95,35/112
