company_code,company_shortName,fund_name,fund_code
80365985,北信,北信瑞丰研究精选,	004352
80365985,北信,北信瑞丰优选成长,	009954
80365985,北信,北信瑞丰健康生活,	001056
80365985,北信,北信瑞丰产业升级,	168501
80365985,北信,北信瑞丰中国智造,	001829
80365985,北信,北信瑞丰外延增长,	002123
80365985,北信,北信瑞丰兴瑞灵配,	004829
80365985,北信,北信瑞丰量化优选灵活配置,	007808
80365985,北信,北信瑞丰稳定增强,	002194
80365985,北信,北信瑞丰华丰灵配,	005376
80365985,北信,北信瑞丰丰利混合,	002745
80365985,北信,北信瑞丰鼎丰灵活配置混合,	004557
80365985,北信,北信瑞丰新成长,	001866
80365985,北信,北信瑞丰平安中国,	001154
80000236,宝盈,宝盈优势产业混合,	001487
80000236,宝盈,宝盈转型动力混合,	001075
80000236,宝盈,宝盈核心优势混合A,	213006
80000236,宝盈,宝盈核心优势混合C,	000241
80000236,宝盈,宝盈基础产业混合A,	010383
80000236,宝盈,宝盈祥瑞混合C,	007577
80000236,宝盈,宝盈基础产业混合C,	010384
80000236,宝盈,宝盈祥瑞混合A,	000639
80000236,宝盈,宝盈祥利稳健配置混合A,	008324
80000236,宝盈,宝盈祥利稳健配置混合C,	008325
80000236,宝盈,宝盈祥裕增强回报混合A,	008336
80000236,宝盈,宝盈祥裕增强回报混合C,	008337
80000236,宝盈,宝盈祥泽混合A,	008672
80000236,宝盈,宝盈祥泽混合C,	008673
80000236,宝盈,宝盈祥泰混合A,	001358
80000236,宝盈,宝盈祥泰混合C,	007575
80000236,宝盈,宝盈鸿利收益灵活配置混合A,	213001
80000236,宝盈,宝盈新兴产业混合,	001128
80000236,宝盈,宝盈鸿利收益灵活配置混合C,	007581
80000236,宝盈,宝盈研究精选混合A,	008227
80000236,宝盈,宝盈研究精选混合C,	008228
80000236,宝盈,宝盈先进制造混合A,	000924
80000236,宝盈,宝盈先进制造混合C,	007579
80000236,宝盈,宝盈新价值混合A,	000574
80000236,宝盈,宝盈新价值混合C,	007574
80000236,宝盈,宝盈消费主题混合,	003715
80000236,宝盈,宝盈互联网沪港深混合,	002482
80000236,宝盈,宝盈泛沿海增长混合,	213002
80000236,宝盈,宝盈科技30混合,	000698
80000236,宝盈,宝盈策略增长混合,	213003
80000236,宝盈,宝盈睿丰创新混合A/B,	000794
80000236,宝盈,宝盈睿丰创新混合C,	000796
80000236,宝盈,宝盈新锐混合A,	001543
80000236,宝盈,宝盈新锐混合C,	007578
80000236,宝盈,宝盈资源优选混合,	213008
80000236,宝盈,宝盈现代服务业混合C,	009224
80000236,宝盈,宝盈现代服务业混合A,	009223
80000236,宝盈,宝盈祥颐定期开放混合A,	006398
80000236,宝盈,宝盈祥颐定期开放混合C,	006399
80000236,宝盈,宝盈祥明一年定开混合A,	009419
80000236,宝盈,宝盈祥明一年定开混合C,	009420
80000236,宝盈,宝盈智慧生活混合C,	011171
80000236,宝盈,宝盈智慧生活混合A,	011170
80000236,宝盈,宝盈国家安全沪港深股票,	001877
80000236,宝盈,宝盈龙头优选股票A,	008303
80000236,宝盈,宝盈龙头优选股票C,	008304
80000236,宝盈,宝盈人工智能股票A,	005962
80000236,宝盈,宝盈人工智能股票C,	005963
80000236,宝盈,宝盈中证100指数增强C,	007580
80000236,宝盈,宝盈中证100指数增强A,	213010
80000236,宝盈,宝盈创新驱动股票C,	009492
80000236,宝盈,宝盈创新驱动股票A,	009491
80000236,宝盈,宝盈发展新动能股票A,	010128
80000236,宝盈,宝盈发展新动能股票C,	010129
80000236,宝盈,宝盈品牌消费股票A,	006675
80000236,宝盈,宝盈品牌消费股票C,	006676
80000236,宝盈,宝盈医疗健康沪港深股票,	001915
80365986,中金,中金瑞泰灵活配置混合,	010218
80365986,中金,中金瑞康灵活配置混合,	010185
80365986,中金,中金恒远一年持有期混合,	011293
80365986,中金,中金绝对收益,	001059
80365986,中金,中金成长精选混合A,	010951
80365986,中金,中金成长精选混合C,	010952
80365986,中金,中金丰硕混合,	005396
80365986,中金,中金金序量化蓝筹A,	005405
80365986,中金,中金金序量化蓝筹C,	005406
80365986,中金,中金金泽A,	005005
80365986,中金,中金金泽C,	005006
80365986,中金,中金衡优灵活配置混合A,	005489
80365986,中金,中金衡优灵活配置混合C,	005490
80365986,中金,中金瑞和A,	006277
80365986,中金,中金瑞和C,	006278
80365986,中金,中金科创主题3年封闭混合,	501080
80365986,中金,中金瑞祥A,	006279
80365986,中金,中金瑞祥C,	006280
80365986,中金,中金量化多策略混合,	003582
80365986,中金,中金泰顺12个月定开混合,	009843
80036782,招商,招商中证煤炭等权指数(LOF),	161724
80036782,招商,招商大宗商品(LOF),	161715
80036782,招商,招商中证银行指数,	161723
80036782,招商,招商量化精选股票A,	001917
80036782,招商,招商量化精选股票C,	007950
80036782,招商,招商中证500等权重指数增强A,	009726
80036782,招商,招商中证500等权重指数增强C,	009727
80036782,招商,招商中证1000指数增强A,	004194
80036782,招商,招商中证1000指数增强C,	004195
80036782,招商,招商中证500指数A,	004192
80036782,招商,招商中证500指数C,	004193
80036782,招商,招商行业精选股票基金,	000746
80036782,招商,招商沪深300地产等权重指数,	161721
80036782,招商,招商体育文化休闲股票,	001628
80036782,招商,招商产业精选股票A,	010341
80036782,招商,招商产业精选股票C,	010342
80036782,招商,招商中证全指证券公司指数(LOF),	161720
80036782,招商,招商核心优选股票A,	008075
80036782,招商,招商科技动力3个月股票A,	009601
80036782,招商,招商核心优选股票C,	008076
80036782,招商,招商科技动力3个月股票C,	009602
80036782,招商,招商沪深300高贝塔,	161718
80036782,招商,招商富时A-H50指数A,	501067
80036782,招商,招商富时A-H50指数C,	501068
80036782,招商,招商研究优选股票A,	008261
80036782,招商,招商研究优选股票C,	008262
80036782,招商,招商景气优选股票A,	009864
80036782,招商,招商景气优选股票C,	009865
80036782,招商,招商财经大数据股票A,	003416
80036782,招商,招商财经大数据股票C,	007952
80036782,招商,招商MSCI中国A股国际ETF联接A,	005761
80036782,招商,招商MSCI中国A股国际ETF联接C,	005762
80036782,招商,招商央视财经50指数C,	004410
80036782,招商,招商央视财经50指数A,	217027
80036782,招商,招商沪深300指数增强A,	004190
80036782,招商,招商沪深300指数增强C,	004191
80036782,招商,招商稳健优选股票,	004784
80036782,招商,招商深证TMT50ETF联接A,	217019
80036782,招商,招商深证TMT50ETF联接C,	004409
80036782,招商,招商深证100ETF联接A,	008236
80036782,招商,招商深证100ETF联接C,	008237
80036782,招商,招商深证100指数A,	217016
80036782,招商,招商深证100指数C,	004408
80036782,招商,招商中国机遇股票,	001749
80036782,招商,招商上证消费80ETF联接A,	217017
80036782,招商,招商上证消费80ETF联接C,	004407
80036782,招商,招商中证白酒指数(LOF),	161725
80036782,招商,招商医药健康产业股票,	000960
80036782,招商,招商移动互联网产业股票基金,	001404
80036782,招商,招商国证生物医药指数(LOF),	161726
80036782,招商,招商港股通核心精选股票A,	011651
80036782,招商,招商港股通核心精选股票C,	011652
80036782,招商,招商盛鑫优选3个月持有(FOF)C,	008159
80036782,招商,招商盛鑫优选3个月持有(FOF)A,	008158
80036782,招商,招商瑞信稳健配置混合A,	009423
80036782,招商,招商和悦均衡养老三年(FOF),	007660
80036782,招商,招商瑞信稳健配置混合C,	009424
80036782,招商,招商瑞庆混合A,	002574
80036782,招商,招商和悦稳健养老(FOF)A,	006861
80036782,招商,招商和悦稳健养老(FOF)C,	006862
80036782,招商,招商瑞文混合A,	007725
80036782,招商,招商瑞文混合C,	007726
80036782,招商,招商瑞庆混合C,	007085
80036782,招商,招商瑞恒一年持有期混合C,	009378
80036782,招商,招商瑞恒一年持有期混合A,	009377
80036782,招商,招商丰美混合C,	002820
80036782,招商,招商丰泽混合A,	001427
80036782,招商,招商丰泽混合C,	001446
80036782,招商,招商瑞丰灵活配置混合发起式A,	000314
80036782,招商,招商瑞丰灵活配置混合发起式C,	002017
80036782,招商,招商睿逸混合,	002317
80036782,招商,招商安荣混合A,	002776
80036782,招商,招商安荣混合C,	002777
80036782,招商,招商瑞和1年持有期混合A,	011397
80036782,招商,招商瑞泽一年持有期混合A,	010018
80036782,招商,招商瑞泽一年持有期混合C,	010019
80036782,招商,招商稳兴混合A,	010503
80036782,招商,招商稳兴混合C,	010504
80036782,招商,招商瑞和1年持有期混合C,	011398
80036782,招商,招商安德灵活配置混合A,	002389
80036782,招商,招商丰美混合A,	002819
80036782,招商,招商安德灵活配置混合C,	002390
80036782,招商,招商安泰平衡混合,	217002
80036782,招商,招商瑞德一年持有期混合A,	010688
80036782,招商,招商丰德灵活配置混合A,	003000
80036782,招商,招商瑞德一年持有期混合C,	010689
80036782,招商,招商丰德灵活配置混合C,	003001
80036782,招商,招商丰茂灵活混合发起式A,	005906
80036782,招商,招商丰茂灵活混合发起式C,	005907
80036782,招商,招商盛合灵活混合A,	004142
80036782,招商,招商安裕灵活配置混合A,	002657
80036782,招商,招商盛合灵活混合C,	004143
80036782,招商,招商安裕灵活配置混合C,	002658
80036782,招商,招商兴福混合A,	003861
80036782,招商,招商兴福混合C,	003862
80036782,招商,招商境远灵活配置混合,	002249
80036782,招商,招商丰拓灵活混合A,	004932
80036782,招商,招商丰拓灵活混合C,	004933
80036782,招商,招商瑞阳混合A,	008456
80036782,招商,招商瑞阳混合C,	008457
80036782,招商,招商大盘蓝筹混合,	217010
80036782,招商,招商核心价值混合,	217009
80036782,招商,招商战略配售(LOF),	161728
80036782,招商,招商安元灵活配置混合A,	002456
80036782,招商,招商安元灵活配置混合C,	002457
80036782,招商,招商康泰灵活配置混合,	002103
80036782,招商,招商安博灵活配置混合A,	002628
80036782,招商,招商安博灵活配置混合C,	002629
80036782,招商,招商丰泰混合(LOF),	161722
80036782,招商,招商行业领先混合A,	217012
80036782,招商,招商丰益混合C,	002515
80036782,招商,招商国企改革主题混合基金,	001403
80036782,招商,招商丰益混合A,	002514
80036782,招商,招商品质升级混合A,	010996
80036782,招商,招商商业模式优选A,	010944
80036782,招商,招商品质升级混合C,	010997
80036782,招商,招商商业模式优选C,	010945
80036782,招商,招商丰盛稳定增长混合A,	000530
80036782,招商,招商丰盛稳定增长混合C,	002417
80036782,招商,招商丰盈积极配置混合A,	009362
80036782,招商,招商丰韵混合A,	006364
80036782,招商,招商丰盈积极配置混合C,	009363
80036782,招商,招商丰韵混合C,	006365
80036782,招商,招商安益灵活配置混合,	001531
80036782,招商,招商丰凯混合A,	002581
80036782,招商,招商丰凯混合C,	002582
80036782,招商,招商安弘灵活配置混合,	002271
80036782,招商,招商沪港深科技创新混合A,	004266
80036782,招商,招商沪港深科技创新混合C,	010754
80036782,招商,招商安泰混合,	217001
80036782,招商,招商安润混合,	000126
80036782,招商,招商制造业混合A,	001869
80036782,招商,招商丰利灵活配置混合A,	000679
80036782,招商,招商制造业混合C,	004569
80036782,招商,招商丰利灵活配置混合C,	002416
80036782,招商,招商优质成长混合(LOF),	161706
80036782,招商,招商增荣混合(LOF),	161727
80036782,招商,招商先锋混合,	217005
80036782,招商,招商盛洋3个月定开混合,	010417
80036782,招商,招商优势企业混合,	217021
