manager_id,manager_name,company_id,company_name,avatar,start_day,scale,best_reward,description,fund_code,fund_name
30528543,陈怡,80061674,泰康资产,https://pdf.dfcfw.com/pdf/H8_30528543_1.JPG,2017-04-19,105.88,98.43%,"陈怡女士:金融学硕士。2016年5月加入泰康资产,现任公募事业部股票投资总监,2017年4月19日至今担任泰康丰盈债券型证券投资基金基金经理,2017年4月19日-2019年5月8日担任泰康宏泰回报混合型证券投资基金基金经理,2017年10月13日至今担任泰康金泰回报3个月定期开放混合型证券投资基金基金经理,2017年11月9日至今担任泰康安泰回报混合型证券投资基金基金经理,2017年11月28日至今担任泰康新回报灵活配置混合型证券投资基金基金经理,2018年1月19日-2019年5月8日担任泰康均衡优选混合型证券投资基金基金经理。2018年8月23日至今担任泰康弘实3个月定期开放混合型发起式证券投资基金基金经理,2019年3月22日至今担任泰康裕泰债券型证券投资基金基金经理。曾任职万家基金管理有限公司研究部研究员,平安养老保险股份有限公司权益投资部研究员、行业投资经理。2020年06月30日担任泰康申润一年持有期混合型证券投资基金基金经理。",	009448,泰康申润一年持有期混合A
30528543,陈怡,80061674,泰康资产,https://pdf.dfcfw.com/pdf/H8_30528543_1.JPG,2017-04-19,105.88,98.43%,"陈怡女士:金融学硕士。2016年5月加入泰康资产,现任公募事业部股票投资总监,2017年4月19日至今担任泰康丰盈债券型证券投资基金基金经理,2017年4月19日-2019年5月8日担任泰康宏泰回报混合型证券投资基金基金经理,2017年10月13日至今担任泰康金泰回报3个月定期开放混合型证券投资基金基金经理,2017年11月9日至今担任泰康安泰回报混合型证券投资基金基金经理,2017年11月28日至今担任泰康新回报灵活配置混合型证券投资基金基金经理,2018年1月19日-2019年5月8日担任泰康均衡优选混合型证券投资基金基金经理。2018年8月23日至今担任泰康弘实3个月定期开放混合型发起式证券投资基金基金经理,2019年3月22日至今担任泰康裕泰债券型证券投资基金基金经理。曾任职万家基金管理有限公司研究部研究员,平安养老保险股份有限公司权益投资部研究员、行业投资经理。2020年06月30日担任泰康申润一年持有期混合型证券投资基金基金经理。",	009449,泰康申润一年持有期混合C
30528543,陈怡,80061674,泰康资产,https://pdf.dfcfw.com/pdf/H8_30528543_1.JPG,2017-04-19,105.88,98.43%,"陈怡女士:金融学硕士。2016年5月加入泰康资产,现任公募事业部股票投资总监,2017年4月19日至今担任泰康丰盈债券型证券投资基金基金经理,2017年4月19日-2019年5月8日担任泰康宏泰回报混合型证券投资基金基金经理,2017年10月13日至今担任泰康金泰回报3个月定期开放混合型证券投资基金基金经理,2017年11月9日至今担任泰康安泰回报混合型证券投资基金基金经理,2017年11月28日至今担任泰康新回报灵活配置混合型证券投资基金基金经理,2018年1月19日-2019年5月8日担任泰康均衡优选混合型证券投资基金基金经理。2018年8月23日至今担任泰康弘实3个月定期开放混合型发起式证券投资基金基金经理,2019年3月22日至今担任泰康裕泰债券型证券投资基金基金经理。曾任职万家基金管理有限公司研究部研究员,平安养老保险股份有限公司权益投资部研究员、行业投资经理。2020年06月30日担任泰康申润一年持有期混合型证券投资基金基金经理。",	006208,泰康裕泰债券C
30528543,陈怡,80061674,泰康资产,https://pdf.dfcfw.com/pdf/H8_30528543_1.JPG,2017-04-19,105.88,98.43%,"陈怡女士:金融学硕士。2016年5月加入泰康资产,现任公募事业部股票投资总监,2017年4月19日至今担任泰康丰盈债券型证券投资基金基金经理,2017年4月19日-2019年5月8日担任泰康宏泰回报混合型证券投资基金基金经理,2017年10月13日至今担任泰康金泰回报3个月定期开放混合型证券投资基金基金经理,2017年11月9日至今担任泰康安泰回报混合型证券投资基金基金经理,2017年11月28日至今担任泰康新回报灵活配置混合型证券投资基金基金经理,2018年1月19日-2019年5月8日担任泰康均衡优选混合型证券投资基金基金经理。2018年8月23日至今担任泰康弘实3个月定期开放混合型发起式证券投资基金基金经理,2019年3月22日至今担任泰康裕泰债券型证券投资基金基金经理。曾任职万家基金管理有限公司研究部研究员,平安养老保险股份有限公司权益投资部研究员、行业投资经理。2020年06月30日担任泰康申润一年持有期混合型证券投资基金基金经理。",	006207,泰康裕泰债券A
30528543,陈怡,80061674,泰康资产,https://pdf.dfcfw.com/pdf/H8_30528543_1.JPG,2017-04-19,105.88,98.43%,"陈怡女士:金融学硕士。2016年5月加入泰康资产,现任公募事业部股票投资总监,2017年4月19日至今担任泰康丰盈债券型证券投资基金基金经理,2017年4月19日-2019年5月8日担任泰康宏泰回报混合型证券投资基金基金经理,2017年10月13日至今担任泰康金泰回报3个月定期开放混合型证券投资基金基金经理,2017年11月9日至今担任泰康安泰回报混合型证券投资基金基金经理,2017年11月28日至今担任泰康新回报灵活配置混合型证券投资基金基金经理,2018年1月19日-2019年5月8日担任泰康均衡优选混合型证券投资基金基金经理。2018年8月23日至今担任泰康弘实3个月定期开放混合型发起式证券投资基金基金经理,2019年3月22日至今担任泰康裕泰债券型证券投资基金基金经理。曾任职万家基金管理有限公司研究部研究员,平安养老保险股份有限公司权益投资部研究员、行业投资经理。2020年06月30日担任泰康申润一年持有期混合型证券投资基金基金经理。",	006111,泰康弘实3月定开混合
30528543,陈怡,80061674,泰康资产,https://pdf.dfcfw.com/pdf/H8_30528543_1.JPG,2017-04-19,105.88,98.43%,"陈怡女士:金融学硕士。2016年5月加入泰康资产,现任公募事业部股票投资总监,2017年4月19日至今担任泰康丰盈债券型证券投资基金基金经理,2017年4月19日-2019年5月8日担任泰康宏泰回报混合型证券投资基金基金经理,2017年10月13日至今担任泰康金泰回报3个月定期开放混合型证券投资基金基金经理,2017年11月9日至今担任泰康安泰回报混合型证券投资基金基金经理,2017年11月28日至今担任泰康新回报灵活配置混合型证券投资基金基金经理,2018年1月19日-2019年5月8日担任泰康均衡优选混合型证券投资基金基金经理。2018年8月23日至今担任泰康弘实3个月定期开放混合型发起式证券投资基金基金经理,2019年3月22日至今担任泰康裕泰债券型证券投资基金基金经理。曾任职万家基金管理有限公司研究部研究员,平安养老保险股份有限公司权益投资部研究员、行业投资经理。2020年06月30日担任泰康申润一年持有期混合型证券投资基金基金经理。",	001799,泰康新回报灵活配置混合C
30528543,陈怡,80061674,泰康资产,https://pdf.dfcfw.com/pdf/H8_30528543_1.JPG,2017-04-19,105.88,98.43%,"陈怡女士:金融学硕士。2016年5月加入泰康资产,现任公募事业部股票投资总监,2017年4月19日至今担任泰康丰盈债券型证券投资基金基金经理,2017年4月19日-2019年5月8日担任泰康宏泰回报混合型证券投资基金基金经理,2017年10月13日至今担任泰康金泰回报3个月定期开放混合型证券投资基金基金经理,2017年11月9日至今担任泰康安泰回报混合型证券投资基金基金经理,2017年11月28日至今担任泰康新回报灵活配置混合型证券投资基金基金经理,2018年1月19日-2019年5月8日担任泰康均衡优选混合型证券投资基金基金经理。2018年8月23日至今担任泰康弘实3个月定期开放混合型发起式证券投资基金基金经理,2019年3月22日至今担任泰康裕泰债券型证券投资基金基金经理。曾任职万家基金管理有限公司研究部研究员,平安养老保险股份有限公司权益投资部研究员、行业投资经理。2020年06月30日担任泰康申润一年持有期混合型证券投资基金基金经理。",	001798,泰康新回报灵活配置混合A
30528543,陈怡,80061674,泰康资产,https://pdf.dfcfw.com/pdf/H8_30528543_1.JPG,2017-04-19,105.88,98.43%,"陈怡女士:金融学硕士。2016年5月加入泰康资产,现任公募事业部股票投资总监,2017年4月19日至今担任泰康丰盈债券型证券投资基金基金经理,2017年4月19日-2019年5月8日担任泰康宏泰回报混合型证券投资基金基金经理,2017年10月13日至今担任泰康金泰回报3个月定期开放混合型证券投资基金基金经理,2017年11月9日至今担任泰康安泰回报混合型证券投资基金基金经理,2017年11月28日至今担任泰康新回报灵活配置混合型证券投资基金基金经理,2018年1月19日-2019年5月8日担任泰康均衡优选混合型证券投资基金基金经理。2018年8月23日至今担任泰康弘实3个月定期开放混合型发起式证券投资基金基金经理,2019年3月22日至今担任泰康裕泰债券型证券投资基金基金经理。曾任职万家基金管理有限公司研究部研究员,平安养老保险股份有限公司权益投资部研究员、行业投资经理。2020年06月30日担任泰康申润一年持有期混合型证券投资基金基金经理。",	002331,泰康安泰回报混合
30528543,陈怡,80061674,泰康资产,https://pdf.dfcfw.com/pdf/H8_30528543_1.JPG,2017-04-19,105.88,98.43%,"陈怡女士:金融学硕士。2016年5月加入泰康资产,现任公募事业部股票投资总监,2017年4月19日至今担任泰康丰盈债券型证券投资基金基金经理,2017年4月19日-2019年5月8日担任泰康宏泰回报混合型证券投资基金基金经理,2017年10月13日至今担任泰康金泰回报3个月定期开放混合型证券投资基金基金经理,2017年11月9日至今担任泰康安泰回报混合型证券投资基金基金经理,2017年11月28日至今担任泰康新回报灵活配置混合型证券投资基金基金经理,2018年1月19日-2019年5月8日担任泰康均衡优选混合型证券投资基金基金经理。2018年8月23日至今担任泰康弘实3个月定期开放混合型发起式证券投资基金基金经理,2019年3月22日至今担任泰康裕泰债券型证券投资基金基金经理。曾任职万家基金管理有限公司研究部研究员,平安养老保险股份有限公司权益投资部研究员、行业投资经理。2020年06月30日担任泰康申润一年持有期混合型证券投资基金基金经理。",	003813,泰康金泰3月定开混合
30528543,陈怡,80061674,泰康资产,https://pdf.dfcfw.com/pdf/H8_30528543_1.JPG,2017-04-19,105.88,98.43%,"陈怡女士:金融学硕士。2016年5月加入泰康资产,现任公募事业部股票投资总监,2017年4月19日至今担任泰康丰盈债券型证券投资基金基金经理,2017年4月19日-2019年5月8日担任泰康宏泰回报混合型证券投资基金基金经理,2017年10月13日至今担任泰康金泰回报3个月定期开放混合型证券投资基金基金经理,2017年11月9日至今担任泰康安泰回报混合型证券投资基金基金经理,2017年11月28日至今担任泰康新回报灵活配置混合型证券投资基金基金经理,2018年1月19日-2019年5月8日担任泰康均衡优选混合型证券投资基金基金经理。2018年8月23日至今担任泰康弘实3个月定期开放混合型发起式证券投资基金基金经理,2019年3月22日至今担任泰康裕泰债券型证券投资基金基金经理。曾任职万家基金管理有限公司研究部研究员,平安养老保险股份有限公司权益投资部研究员、行业投资经理。2020年06月30日担任泰康申润一年持有期混合型证券投资基金基金经理。",	002986,泰康丰盈债券
30042300,程洲,80000224,国泰基金,https://pdf.dfcfw.com/pdf/H8_30042300_1.JPG,2008-04-03,165.77,365.98%,"程洲先生:硕士研究生,CFA。曾任职于申银万国证券研究所。2004年4月加盟国泰基金管理有限公司,历任高级策略分析师、基金经理助理,2008年4月至2014年3月任国泰金马稳健回报证券投资基金的基金经理,2009年12月至2012年12月任金泰证券投资基金的基金经理,2010年2月至2011年12月任国泰估值优势可分离交易股票型证券投资基金的基金经理,2012年12月至2017年1月任国泰金泰平衡混合型证券投资基金(由金泰证券投资基金转型而来)的基金经理,2013年12月起兼任国泰聚信价值优势灵活配置混合型证券投资基金的基金经理,2015年1月起兼任国泰金牛创新成长混合型证券投资基金(原国泰金牛创新成长股票型证券投资基金)的基金经理,2017年3月31日至2020年7月24日担任国泰民丰回报定期开放灵活配置混合型证券投资基金的基金经理,2017年6月起兼任国泰大农业股票型证券投资基金的基金经理,2017年11月起兼任国泰聚优价值灵活配置混合型证券投资基金的基金经理,2018年3月起兼任国泰聚利价值定期开放灵活配置混合型证券投资基金的基金经理,2019年5月31日至2020年7月24日担任国泰鑫策略价值灵活配置混合型证券投资基金的基金经理,2019年11月起兼任国泰鑫睿混合型证券投资基金的基金经理,2020年1月起兼任国泰鑫利一年持有期混合型证券投资基金基金经理。2020年5月29日担任国泰大制造两年持有期混合型证券投资基金基金经理。",	010830,国泰通利9个月持有期混合A
